Title,Release,Genre,Rating,Runtime,Revenue,Decade
Captain Fantastic,2016,Comedy,7.9,118,5.875006,2010
Sing Street,2016,Comedy,7.9,106,3.237118,2010
Thor: Ragnarok,2017,Action,7.9,130,315.058289,2010
Nightcrawler,2014,Crime,7.9,117,32.381218,2010
Jojo Rabbit,2019,Comedy,7.9,108,0.349555,2010
Arrival,2016,Drama,7.9,116,100.546139,2010
Star Wars: Episode VII - The Force Awakens,2015,Action,7.9,138,936.662225,2010
Before Midnight,2013,Drama,7.9,109,8.114627,2010
X-Men: Days of Future Past,2014,Action,7.9,132,233.921534,2010
Bir Zamanlar Anadolu'da,2011,Crime,7.9,157,0.13873,2010
The Artist,2011,Comedy,7.9,100,44.671682,2010
Edge of Tomorrow,2014,Action,7.9,113,100.206256,2010
Amour,2012,Drama,7.9,127,6.739492,2010
The Irishman,2019,Biography,7.9,209,7.0,2010
Un prophète,2009,Crime,7.9,155,2.084637,2000
Moon,2009,Drama,7.9,97,5.009677,2000
Låt den rätte komma in,2008,Crime,7.9,114,2.122065,2000
District 9,2009,Action,7.9,112,115.646235,2000
The Wrestler,2008,Drama,7.9,109,26.236603,2000
Jab We Met,2007,Comedy,7.9,138,0.4108,2000
Boyhood,2014,Drama,7.9,165,25.379975,2010
"4 luni, 3 saptamâni si 2 zile",2007,Drama,7.9,113,1.185783,2000
Star Trek,2009,Action,7.9,127,257.730019,2000
In Bruges,2008,Comedy,7.9,107,7.75713,2000
The Man from Earth,2007,Drama,7.9,87,,2000
Letters from Iwo Jima,2006,Action,7.9,141,13.756082,2000
The Fall,2006,Adventure,7.9,117,2.280348,2000
Life of Pi,2012,Adventure,7.9,127,124.987023,2010
Fantastic Mr. Fox,2009,Animation,7.9,87,21.002919,2000
C.R.A.Z.Y.,2005,Comedy,7.9,129,,2000
Les choristes,2004,Drama,7.9,97,3.635164,2000
Iron Man,2008,Action,7.9,126,318.412101,2000
Shaun of the Dead,2004,Comedy,7.9,99,13.542874,2000
Gegen die Wand,2004,Drama,7.9,121,,2000
Mystic River,2003,Crime,7.9,138,90.135191,2000
Harry Potter and the Prisoner of Azkaban,2004,Adventure,7.9,142,249.358727,2000
Ying xiong,2002,Action,7.9,120,53.710019,2000
Hable con ella,2002,Drama,7.9,112,9.284265,2000
No Man's Land,2001,Comedy,7.9,98,1.05983,2000
Cowboy Bebop: Tengoku no tobira,2001,Animation,7.9,115,1.000045,2000
The Bourne Identity,2002,Action,7.9,119,121.661683,2000
Nueve reinas,2000,Crime,7.9,114,1.221261,2000
Children of Men,2006,Adventure,7.9,109,35.552383,2000
Almost Famous,2000,Adventure,7.9,122,32.53485,2000
Mulholland Dr.,2001,Drama,7.9,147,7.220243,2000
Toy Story 2,1999,Animation,7.9,92,245.852179,1990
Boogie Nights,1997,Drama,7.9,155,26.40064,1990
Mimi wo sumaseba,1995,Animation,7.9,111,,1990
Once Were Warriors,1994,Crime,7.9,102,2.201126,1990
True Romance,1993,Crime,7.9,119,12.2815,1990
Trois couleurs: Bleu,1993,Drama,7.9,94,1.324974,1990
Jûbê ninpûchô,1993,Animation,7.9,94,,1990
Carlito's Way,1993,Crime,7.9,144,36.948322,1990
Edward Scissorhands,1990,Drama,7.9,105,56.362352,1990
My Left Foot: The Story of Christy Brown,1989,Biography,7.9,103,14.743391,1980
Crimes and Misdemeanors,1989,Comedy,7.9,104,18.254702,1980
The Untouchables,1987,Crime,7.9,119,76.270454,1980
Hannah and Her Sisters,1986,Comedy,7.9,107,40.084041,1980
Brazil,1985,Drama,7.9,132,9.929135,1980
This Is Spinal Tap,1984,Comedy,7.9,82,0.188751,1980
A Christmas Story,1983,Comedy,7.9,93,20.605209,1980
The Blues Brothers,1980,Action,7.9,133,57.22989,1980
Manhattan,1979,Comedy,7.9,96,45.7,1970
All That Jazz,1979,Drama,7.9,123,37.823676,1970
Dawn of the Dead,1978,Action,7.9,127,5.1,1970
All the President's Men,1976,Biography,7.9,138,70.6,1970
La montaña sagrada,1973,Adventure,7.9,114,0.061001,1970
Amarcord,1973,Comedy,7.9,123,,1970
Le charme discret de la bourgeoisie,1972,Comedy,7.9,102,0.198809,1970
"Aguirre, der Zorn Gottes",1972,Action,7.9,95,,1970
Harold and Maude,1971,Comedy,7.9,91,,1970
Patton,1970,Biography,7.9,172,61.7,1970
The Wild Bunch,1969,Action,7.9,145,12.064472,1960
Night of the Living Dead,1968,Horror,7.9,96,0.089029,1960
The Lion in Winter,1968,Biography,7.9,134,22.276975,1960
In the Heat of the Night,1967,Crime,7.9,110,24.379978,1960
Charade,1963,Comedy,7.9,113,13.474588,1960
The Manchurian Candidate,1962,Drama,7.9,126,,1960
Spartacus,1960,Adventure,7.9,197,30.0,1960
L'avventura,1960,Drama,7.9,144,,1960
Hiroshima mon amour,1959,Drama,7.9,90,0.0883,1950
The Ten Commandments,1956,Adventure,7.9,220,93.74,1950
The Searchers,1956,Adventure,7.9,119,,1950
East of Eden,1955,Drama,7.9,118,,1950
High Noon,1952,Drama,7.9,85,9.45,1950
Strangers on a Train,1951,Crime,7.9,101,7.63,1950
Harvey,1950,Comedy,7.9,104,,1950
Miracle on 34th Street,1947,Comedy,7.9,96,2.65,1940
Notorious,1946,Drama,7.9,102,10.464,1940
The Big Sleep,1946,Crime,7.9,114,6.54,1940
The Lost Weekend,1945,Drama,7.9,101,9.46,1940
The Philadelphia Story,1940,Comedy,7.9,112,,1940
His Girl Friday,1940,Comedy,7.9,92,0.296,1940
The Adventures of Robin Hood,1938,Action,7.9,102,3.981,1930
A Night at the Opera,1935,Comedy,7.9,96,2.53752,1930
King Kong,1933,Adventure,7.9,100,10.0,1930
Freaks,1932,Drama,7.9,64,,1930
Nosferatu,1922,Fantasy,7.9,94,,1920
The Gentlemen,2019,Action,7.8,113,,2010
Raazi,2018,Action,7.8,138,,2010
Sound of Metal,2019,Drama,7.8,120,,2010
Forushande,2016,Drama,7.8,124,2.402067,2010
Dunkirk,2017,Action,7.8,106,188.373161,2010
Perfetti sconosciuti,2016,Comedy,7.8,96,,2010
Hidden Figures,2016,Biography,7.8,127,169.607287,2010
Paddington 2,2017,Adventure,7.8,103,40.442052,2010
Udta Punjab,2016,Action,7.8,148,,2010
Kubo and the Two Strings,2016,Animation,7.8,101,48.023088,2010
M.S. Dhoni: The Untold Story,2016,Biography,7.8,184,1.782795,2010
Manchester by the Sea,2016,Drama,7.8,137,47.69512,2010
Under sandet,2015,Drama,7.8,100,0.435266,2010
Rogue One,2016,Action,7.8,133,532.177324,2010
Captain America: Civil War,2016,Action,7.8,147,408.084349,2010
The Hateful Eight,2015,Crime,7.8,168,54.117416,2010
Little Women,2019,Drama,7.8,135,108.101214,2010
Loving Vincent,2017,Animation,7.8,94,6.735118,2010
Pride,2014,Biography,7.8,119,,2010
Le passé,2013,Drama,7.8,130,1.330596,2010
La grande bellezza,2013,Drama,7.8,141,2.8524,2010
The Lunchbox,2013,Drama,7.8,104,4.2315,2010
Vicky Donor,2012,Comedy,7.8,126,0.169209,2010
Big Hero 6,2014,Animation,7.8,102,222.527828,2010
About Time,2013,Comedy,7.8,123,15.322921,2010
English Vinglish,2012,Comedy,7.8,134,1.670773,2010
Kaze tachinu,2013,Animation,7.8,126,5.20958,2010
Toy Story 4,2019,Animation,7.8,100,434.038008,2010
La migliore offerta,2013,Crime,7.8,131,0.085433,2010
Moonrise Kingdom,2012,Comedy,7.8,94,45.512466,2010
How to Train Your Dragon 2,2014,Animation,7.8,102,177.002924,2010
The Big Short,2015,Biography,7.8,130,70.25987,2010
Kokuhaku,2010,Drama,7.8,106,,2010
Ang-ma-reul bo-at-da,2010,Action,7.8,144,0.128392,2010
The Girl with the Dragon Tattoo,2011,Crime,7.8,158,102.515793,2010
Captain Phillips,2013,Adventure,7.8,134,107.100855,2010
Ajeossi,2010,Action,7.8,119,0.00646,2010
Straight Outta Compton,2015,Biography,7.8,147,161.197785,2010
Madeo,2009,Crime,7.8,129,0.547292,2000
Chugyeokja,2008,Action,7.8,125,,2000
The Hobbit: The Desolation of Smaug,2013,Adventure,7.8,161,258.366855,2010
Das weiße Band - Eine deutsche Kindergeschichte,2009,Drama,7.8,144,2.222647,2000
Män som hatar kvinnor,2009,Crime,7.8,152,10.09517,2000
The Trial of the Chicago 7,2020,Drama,7.8,129,,2020
Druk,2020,Comedy,7.8,117,,2020
The Fighter,2010,Biography,7.8,116,93.617009,2010
Taken,2008,Action,7.8,90,145.000989,2000
The Boy in the Striped Pyjamas,2008,Drama,7.8,94,9.030581,2000
Once,2007,Drama,7.8,86,9.439923,2000
The Hobbit: An Unexpected Journey,2012,Adventure,7.8,169,303.003568,2010
Auf der anderen Seite,2007,Drama,7.8,122,0.741283,2000
Atonement,2007,Drama,7.8,123,50.927067,2000
Drive,2011,Crime,7.8,100,35.061555,2010
American Gangster,2007,Biography,7.8,157,130.164645,2000
Avatar,2009,Action,7.8,162,760.507625,2000
Mr. Nobody,2009,Drama,7.8,141,0.0036,2000
Apocalypto,2006,Action,7.8,139,50.866635,2000
Little Miss Sunshine,2006,Comedy,7.8,101,59.891098,2000
Hot Fuzz,2007,Action,7.8,121,23.637265,2000
The Curious Case of Benjamin Button,2008,Drama,7.8,166,127.509326,2000
Veer-Zaara,2004,Drama,7.8,192,2.921738,2000
Adams æbler,2005,Comedy,7.8,94,0.001305,2000
Pride & Prejudice,2005,Drama,7.8,129,38.405088,2000
The World's Fastest Indian,2005,Biography,7.8,127,5.128124,2000
Tôkyô goddofâzâzu,2003,Animation,7.8,90,0.128985,2000
Serenity,2005,Action,7.8,119,25.514517,2000
Walk the Line,2005,Biography,7.8,136,119.519402,2000
Ondskan,2003,Drama,7.8,113,0.01528,2000
The Notebook,2004,Drama,7.8,123,81.001787,2000
Diarios de motocicleta,2004,Adventure,7.8,126,16.756372,2000
Lilja 4-ever,2002,Crime,7.8,109,0.181655,2000
Les triplettes de Belleville,2003,Animation,7.8,80,7.002255,2000
Gongdong gyeongbi guyeok JSA,2000,Action,7.8,110,,2000
The Count of Monte Cristo,2002,Action,7.8,131,54.234062,2000
Waking Life,2001,Animation,7.8,99,2.892011,2000
Remember the Titans,2000,Biography,7.8,113,115.654751,2000
Wo hu cang long,2000,Action,7.8,120,128.078872,2000
Todo sobre mi madre,1999,Drama,7.8,101,8.26453,1990
Cast Away,2000,Adventure,7.8,143,233.632142,2000
The Boondock Saints,1999,Action,7.8,108,0.025812,1990
The Insider,1999,Biography,7.8,157,28.965197,1990
October Sky,1999,Biography,7.8,108,32.481825,1990
Shrek,2001,Animation,7.8,90,267.665011,2000
Titanic,1997,Drama,7.8,194,659.325379,1990
Hana-bi,1997,Crime,7.8,103,0.233986,1990
Gattaca,1997,Drama,7.8,106,12.339633,1990
The Game,1997,Action,7.8,129,48.323648,1990
Breaking the Waves,1996,Drama,7.8,159,4.040691,1990
Ed Wood,1994,Biography,7.8,127,5.887457,1990
What's Eating Gilbert Grape,1993,Drama,7.8,118,9.170214,1990
Tombstone,1993,Action,7.8,130,56.505065,1990
The Sandlot,1993,Comedy,7.8,101,32.416586,1990
The Remains of the Day,1993,Drama,7.8,134,22.954968,1990
Naked,1993,Comedy,7.8,132,1.769305,1990
The Fugitive,1993,Action,7.8,130,183.87576,1990
A Bronx Tale,1993,Crime,7.8,121,17.266971,1990
Batman: Mask of the Phantasm,1993,Animation,7.8,76,5.617391,1990
Lat sau san taam,1992,Action,7.8,128,,1990
Night on Earth,1991,Comedy,7.8,129,2.01581,1990
La double vie de Véronique,1991,Drama,7.8,98,1.999955,1990
Boyz n the Hood,1991,Crime,7.8,112,57.504069,1990
Misery,1990,Drama,7.8,107,61.276872,1990
Awakenings,1990,Biography,7.8,121,52.096475,1990
Majo no takkyûbin,1989,Animation,7.8,103,,1980
Glory,1989,Biography,7.8,122,26.83,1980
Dip huet seung hung,1989,Action,7.8,111,,1980
Back to the Future Part II,1989,Adventure,7.8,108,118.5,1980
Mississippi Burning,1988,Crime,7.8,128,34.603943,1980
Predator,1987,Action,7.8,107,59.735548,1980
Evil Dead II,1987,Action,7.8,84,5.923044,1980
Ferris Bueller's Day Off,1986,Comedy,7.8,103,70.136369,1980
Down by Law,1986,Comedy,7.8,107,1.436,1980
The Goonies,1985,Adventure,7.8,114,61.503218,1980
The Color Purple,1985,Drama,7.8,154,98.467863,1980
The Breakfast Club,1985,Comedy,7.8,97,45.875171,1980
The Killing Fields,1984,Biography,7.8,141,34.700291,1980
Ghostbusters,1984,Action,7.8,105,238.632124,1980
The Right Stuff,1983,Adventure,7.8,193,21.5,1980
The King of Comedy,1982,Comedy,7.8,109,2.5,1980
E.T. the Extra-Terrestrial,1982,Family,7.8,115,435.110554,1980
Kramer vs. Kramer,1979,Drama,7.8,105,106.26,1970
Days of Heaven,1978,Drama,7.8,94,,1970
The Outlaw Josey Wales,1976,Western,7.8,135,31.8,1970
The Man Who Would Be King,1975,Adventure,7.8,129,,1970
The Conversation,1974,Drama,7.8,113,4.42,1970
La planète sauvage,1973,Animation,7.8,72,0.193817,1970
The Day of the Jackal,1973,Crime,7.8,143,16.056255,1970
Badlands,1973,Action,7.8,94,,1970
Cabaret,1972,Drama,7.8,124,42.765,1970
Willy Wonka & the Chocolate Factory,1971,Family,7.8,100,4.0,1970
Midnight Cowboy,1969,Drama,7.8,113,44.785053,1960
Wait Until Dark,1967,Thriller,7.8,108,17.550741,1960
Guess Who's Coming to Dinner,1967,Comedy,7.8,108,56.7,1960
Bonnie and Clyde,1967,Action,7.8,111,,1960
My Fair Lady,1964,Drama,7.8,170,72.0,1960
Mary Poppins,1964,Comedy,7.8,139,102.272727,1960
The Longest Day,1962,Action,7.8,178,39.1,1960
Jules et Jim,1962,Drama,7.8,105,,1960
The Innocents,1961,Horror,7.8,100,2.616,1960
À bout de souffle,1960,Crime,7.8,90,0.336705,1960
Red River,1948,Action,7.8,133,,1940
Key Largo,1948,Action,7.8,100,,1940
To Have and Have Not,1944,Adventure,7.8,100,,1940
Shadow of a Doubt,1943,Film-Noir,7.8,108,,1940
Stagecoach,1939,Adventure,7.8,96,,1930
The Lady Vanishes,1938,Mystery,7.8,96,,1930
Bringing Up Baby,1938,Comedy,7.8,102,,1930
Bride of Frankenstein,1935,Drama,7.8,75,4.36,1930
Duck Soup,1933,Comedy,7.8,69,,1930
Scarface: The Shame of the Nation,1932,Action,7.8,93,,1930
Frankenstein,1931,Drama,7.8,70,,1930
Roma,2018,Drama,7.7,135,,2010
God's Own Country,2017,Drama,7.7,104,0.335609,2010
Deadpool 2,2018,Action,7.7,119,324.591735,2010
Wind River,2017,Crime,7.7,107,33.800859,2010
Get Out,2017,Horror,7.7,104,176.040665,2010
Mission: Impossible - Fallout,2018,Action,7.7,147,220.159104,2010
En man som heter Ove,2015,Comedy,7.7,116,3.358518,2010
What We Do in the Shadows,2014,Comedy,7.7,86,3.333,2010
Omoide no Mânî,2014,Animation,7.7,103,0.765127,2010
The Theory of Everything,2014,Biography,7.7,123,35.893537,2010
Kingsman: The Secret Service,2014,Action,7.7,129,128.261724,2010
The Fault in Our Stars,2014,Drama,7.7,126,124.87235,2010
Me and Earl and the Dying Girl,2015,Comedy,7.7,105,6.743776,2010
Birdman or (The Unexpected Virtue of Ignorance),2014,Comedy,7.7,119,42.340598,2010
La vie d'Adèle,2013,Drama,7.7,180,2.199675,2010
Kai po che!,2013,Drama,7.7,130,1.122527,2010
The Broken Circle Breakdown,2012,Drama,7.7,111,0.175058,2010
Captain America: The Winter Soldier,2014,Action,7.7,136,259.766572,2010
Rockstar,2011,Drama,7.7,159,0.985912,2010
Nebraska,2013,Adventure,7.7,115,17.654912,2010
Wreck-It Ralph,2012,Animation,7.7,101,189.422889,2010
Le Petit Prince,2015,Animation,7.7,108,1.339152,2010
Detachment,2011,Drama,7.7,98,0.071177,2010
Midnight in Paris,2011,Comedy,7.7,96,56.816662,2010
The Lego Movie,2014,Animation,7.7,100,257.760692,2010
Gravity,2013,Drama,7.7,91,274.092705,2010
Star Trek Into Darkness,2013,Action,7.7,132,228.778661,2010
Beasts of No Nation,2015,Drama,7.7,137,0.083861,2010
The Social Network,2010,Biography,7.7,120,96.962694,2010
X: First Class,2011,Action,7.7,131,146.408305,2010
The Hangover,2009,Comedy,7.7,100,277.322503,2000
Skyfall,2012,Action,7.7,143,304.360277,2010
Silver Linings Playbook,2012,Comedy,7.7,122,132.092958,2010
Argo,2012,Biography,7.7,120,136.025503,2010
(500) Days of Summer,2009,Comedy,7.7,95,32.391374,2000
Harry Potter and the Deathly Hallows: Part 1,2010,Adventure,7.7,146,295.983305,2010
Gake no ue no Ponyo,2008,Animation,7.7,101,15.0904,2000
Frost/Nixon,2008,Biography,7.7,122,18.593156,2000
Papurika,2006,Animation,7.7,90,0.881302,2000
Changeling,2008,Biography,7.7,141,35.739802,2000
Flipped,2010,Comedy,7.7,90,1.752214,2010
Toki o kakeru shôjo,2006,Animation,7.7,98,,2000
Death Note: Desu nôto,2006,Crime,7.7,126,,2000
This Is England,2006,Crime,7.7,101,0.327919,2000
Ex Machina,2014,Drama,7.7,108,25.442958,2010
Efter brylluppet,2006,Drama,7.7,120,0.412544,2000
The Last King of Scotland,2006,Biography,7.7,123,17.605861,2000
Zodiac,2007,Crime,7.7,157,33.080084,2000
Lucky Number Slevin,2006,Action,7.7,110,22.494487,2000
Joyeux Noël,2005,Drama,7.7,116,1.054361,2000
Control,2007,Biography,7.7,122,0.871577,2000
Tangled,2010,Animation,7.7,100,200.821936,2010
Zwartboek,2006,Drama,7.7,145,4.398392,2000
Brokeback Mountain,2005,Drama,7.7,134,83.043761,2000
3:10 to Yuma,2007,Action,7.7,122,53.606916,2000
Crash,2004,Crime,7.7,112,54.5803,2000
Kung fu,2004,Action,7.7,99,17.108591,2000
The Bourne Supremacy,2004,Action,7.7,108,176.241941,2000
The Machinist,2004,Drama,7.7,101,1.082715,2000
Ray,2004,Biography,7.7,152,75.3316,2000
Lost in Translation,2003,Comedy,7.7,102,44.585453,2000
Harry Potter and the Goblet of Fire,2005,Adventure,7.7,157,290.013036,2000
Man on Fire,2004,Action,7.7,146,77.911774,2000
Coraline,2009,Animation,7.7,100,75.286229,2000
The Last Samurai,2003,Action,7.7,154,111.110575,2000
The Magdalene Sisters,2002,Drama,7.7,114,4.890878,2000
Good Bye Lenin!,2003,Comedy,7.7,121,4.0642,2000
In America,2002,Drama,7.7,105,15.539266,2000
I Am Sam,2001,Drama,7.7,132,40.311852,2000
Adaptation.,2002,Comedy,7.7,115,22.245861,2000
Black Hawk Down,2001,Drama,7.7,144,108.638745,2000
Road to Perdition,2002,Crime,7.7,117,104.454762,2000
Das Experiment,2001,Drama,7.7,120,0.141072,2000
Billy Elliot,2000,Drama,7.7,110,21.995263,2000
Hedwig and the Angry Inch,2001,Comedy,7.7,95,3.029081,2000
Ocean's Eleven,2001,Crime,7.7,116,183.41715,2000
Vampire Hunter D: Bloodlust,2000,Animation,7.7,103,0.151086,2000
"O Brother, Where Art Thou?",2000,Adventure,7.7,107,45.512588,2000
Interstate 60: Episodes of the Road,2002,Adventure,7.7,116,,2000
"South Park: Bigger, Longer & Uncut",1999,Animation,7.7,81,52.037603,1990
Office Space,1999,Comedy,7.7,89,10.824921,1990
Happiness,1998,Comedy,7.7,134,2.80739,1990
Training Day,2001,Crime,7.7,122,76.631907,2000
Rushmore,1998,Comedy,7.7,93,17.105219,1990
Abre los ojos,1997,Drama,7.7,119,0.368234,1990
Being John Malkovich,1999,Comedy,7.7,113,22.858926,1990
As Good as It Gets,1997,Comedy,7.7,139,148.478011,1990
The Fifth Element,1997,Action,7.7,126,63.54002,1990
Le dîner de cons,1998,Comedy,7.7,80,4.065116,1990
Donnie Brasco,1997,Biography,7.7,127,41.909762,1990
Shine,1996,Biography,7.7,105,35.811509,1990
Primal Fear,1996,Crime,7.7,129,56.116183,1990
Hamlet,1996,Drama,7.7,242,4.414535,1990
A Little Princess,1995,Drama,7.7,97,10.019307,1990
Do lok tin si,1995,Comedy,7.7,99,,1990
Il postino,1994,Biography,7.7,108,21.848932,1990
Clerks,1994,Comedy,7.7,92,3.15113,1990
Short Cuts,1993,Comedy,7.7,188,6.110979,1990
Philadelphia,1993,Drama,7.7,125,77.324422,1990
The Muppet Christmas Carol,1992,Comedy,7.7,85,27.281507,1990
Malcolm X,1992,Biography,7.7,202,48.169908,1990
The Last of the Mohicans,1992,Action,7.7,112,75.505856,1990
Kurenai no buta,1992,Animation,7.7,94,,1990
Glengarry Glen Ross,1992,Crime,7.7,100,10.725228,1990
A Few Good Men,1992,Drama,7.7,138,141.340178,1990
Fried Green Tomatoes,1991,Drama,7.7,130,82.418501,1990
Barton Fink,1991,Comedy,7.7,116,6.153939,1990
Miller's Crossing,1990,Crime,7.7,115,5.080409,1990
Who Framed Roger Rabbit,1988,Animation,7.7,104,156.45237,1980
Spoorloos,1988,Mystery,7.7,107,,1980
Withnail & I,1987,Comedy,7.7,107,1.544889,1980
The Last Emperor,1987,Biography,7.7,163,43.98423,1980
Empire of the Sun,1987,Action,7.7,153,22.238696,1980
Der Name der Rose,1986,Crime,7.7,130,7.153487,1980
Blue Velvet,1986,Drama,7.7,120,8.551228,1980
The Purple Rose of Cairo,1985,Comedy,7.7,82,10.631333,1980
After Hours,1985,Comedy,7.7,97,10.6,1980
Zelig,1983,Comedy,7.7,79,11.798616,1980
The Verdict,1982,Drama,7.7,129,54.0,1980
Star Trek II: The Wrath of Khan,1982,Action,7.7,113,78.912963,1980
First Blood,1982,Action,7.7,93,47.212904,1980
Ordinary People,1980,Drama,7.7,124,54.8,1980
Airplane!,1980,Comedy,7.7,88,83.4,1980
Rupan sansei: Kariosutoro no shiro,1979,Animation,7.7,100,,1970
Halloween,1978,Horror,7.7,91,47.0,1970
Le locataire,1976,Drama,7.7,126,1.924733,1970
Love and Death,1975,Comedy,7.7,85,,1970
The Taking of Pelham One Two Three,1974,Action,7.7,104,,1970
Blazing Saddles,1974,Comedy,7.7,93,119.5,1970
Serpico,1973,Biography,7.7,130,29.8,1970
Enter the Dragon,1973,Action,7.7,102,25.0,1970
Deliverance,1972,Adventure,7.7,109,7.056013,1970
The French Connection,1971,Action,7.7,104,15.63071,1970
Dirty Harry,1971,Action,7.7,102,35.9,1970
Where Eagles Dare,1968,Action,7.7,158,,1960
The Odd Couple,1968,Comedy,7.7,105,44.527234,1960
The Dirty Dozen,1967,Action,7.7,150,45.3,1960
Belle de jour,1967,Drama,7.7,100,0.026331,1960
A Man for All Seasons,1966,Biography,7.7,120,28.35,1960
Repulsion,1965,Drama,7.7,105,,1960
Zulu,1964,Drama,7.7,138,,1960
Goldfinger,1964,Action,7.7,110,51.081062,1960
The Birds,1963,Drama,7.7,119,11.403529,1960
Cape Fear,1962,Drama,7.7,106,,1960
Peeping Tom,1960,Drama,7.7,101,0.083957,1960
The Magnificent Seven,1960,Action,7.7,128,4.905,1960
Les yeux sans visage,1960,Drama,7.7,90,0.052709,1960
Invasion of the Body Snatchers,1956,Drama,7.7,80,,1950
Rebel Without a Cause,1955,Drama,7.7,111,,1950
The Ladykillers,1955,Comedy,7.7,91,,1950
Sabrina,1954,Comedy,7.7,113,,1950
The Quiet Man,1952,Comedy,7.7,129,10.55,1950
The Day the Earth Stood Still,1951,Drama,7.7,92,,1950
The African Queen,1951,Adventure,7.7,105,0.536118,1950
Gilda,1946,Drama,7.7,110,,1940
Fantasia,1940,Animation,7.7,125,76.408097,1940
The Invisible Man,1933,Horror,7.7,71,,1930
Dark Waters,2019,Biography,7.6,126,,2010
Searching,2018,Drama,7.6,102,26.020957,2010
Once Upon a Time... in Hollywood,2019,Comedy,7.6,161,142.502728,2010
Nelyubov,2017,Drama,7.6,127,0.566356,2010
The Florida Project,2017,Drama,7.6,111,5.904366,2010
Just Mercy,2019,Biography,7.6,137,,2010
Gifted,2017,Drama,7.6,101,24.801212,2010
The Peanut Butter Falcon,2019,Adventure,7.6,97,13.122642,2010
Victoria,2015,Crime,7.6,138,,2010
Mustang,2015,Drama,7.6,97,0.845464,2010
Guardians of the Galaxy Vol. 2,2017,Action,7.6,136,389.813101,2010
Baby Driver,2017,Action,7.6,113,107.825862,2010
Only the Brave,2017,Action,7.6,134,18.340051,2010
Bridge of Spies,2015,Drama,7.6,142,72.313754,2010
Incredibles 2,2018,Animation,7.6,118,608.581744,2010
Moana,2016,Animation,7.6,107,248.757044,2010
Sicario,2015,Action,7.6,121,46.889293,2010
Creed,2015,Drama,7.6,133,109.767581,2010
Leviafan,2014,Crime,7.6,140,1.0928,2010
Hell or High Water,2016,Action,7.6,102,26.86245,2010
Philomena,2013,Biography,7.6,98,37.707719,2010
Dawn of the Planet of the Apes,2014,Action,7.6,130,208.545589,2010
El cuerpo,2012,Mystery,7.6,112,,2010
Serbuan maut,2011,Action,7.6,101,4.105123,2010
End of Watch,2012,Action,7.6,109,41.003371,2010
Kari-gurashi no Arietti,2010,Animation,7.6,94,19.202743,2010
A Star Is Born,2018,Drama,7.6,136,215.288866,2010
True Grit,2010,Drama,7.6,110,171.243005,2010
Hævnen,2010,Drama,7.6,118,1.008098,2010
Despicable Me,2010,Animation,7.6,95,251.513985,2010
50/50,2011,Comedy,7.6,100,35.014192,2010
Kick-Ass,2010,Action,7.6,117,48.071303,2010
Celda 211,2009,Action,7.6,113,,2000
Moneyball,2011,Biography,7.6,133,75.605492,2010
La piel que habito,2011,Drama,7.6,120,3.185812,2010
Zombieland,2009,Adventure,7.6,88,75.590286,2000
Die Welle,2008,Drama,7.6,107,,2000
Sherlock Holmes,2009,Action,7.6,128,209.028679,2000
The Blind Side,2009,Biography,7.6,129,255.959475,2000
The Visitor,2007,Drama,7.6,104,9.422422,2000
Seven Pounds,2008,Drama,7.6,123,69.951824,2000
Eastern Promises,2007,Action,7.6,100,17.114882,2000
Stardust,2007,Adventure,7.6,127,38.634938,2000
The Secret of Kells,2009,Animation,7.6,71,0.686383,2000
Inside Man,2006,Crime,7.6,129,88.513495,2000
Gone Baby Gone,2007,Crime,7.6,114,20.300218,2000
La Vie En Rose,2007,Biography,7.6,140,10.301706,2000
Huo Yuan Jia,2006,Action,7.6,104,24.63373,2000
The Illusionist,2006,Drama,7.6,110,39.868642,2000
Dead Man's Shoes,2004,Crime,7.6,90,0.006013,2000
Harry Potter and the Half-Blood Prince,2009,Action,7.6,153,301.959197,2000
300,2006,Action,7.6,117,210.614939,2000
Match Point,2005,Drama,7.6,124,23.089926,2000
Watchmen,2009,Action,7.6,162,107.509799,2000
Lord of War,2005,Action,7.6,122,24.149632,2000
Saw,2004,Horror,7.6,103,56.000369,2000
"Synecdoche, New York",2008,Drama,7.6,124,3.081925,2000
Mysterious Skin,2004,Drama,7.6,105,0.697181,2000
Jeux d'enfants,2003,Comedy,7.6,93,0.548707,2000
Un long dimanche de fiançailles,2004,Drama,7.6,133,6.167817,2000
The Station Agent,2003,Comedy,7.6,89,5.739376,2000
21 Grams,2003,Crime,7.6,124,16.290476,2000
Boksuneun naui geot,2002,Crime,7.6,129,0.045289,2000
Finding Neverland,2004,Biography,7.6,106,51.680613,2000
25th Hour,2002,Drama,7.6,135,13.060843,2000
The Butterfly Effect,2004,Drama,7.6,113,57.938693,2000
28 Days Later...,2002,Drama,7.6,113,45.064915,2000
Batoru rowaiaru,2000,Action,7.6,114,,2000
The Royal Tenenbaums,2001,Comedy,7.6,110,52.36401,2000
Y tu mamá también,2001,Drama,7.6,106,13.622333,2000
Harry Potter and the Sorcerer's Stone,2001,Adventure,7.6,152,317.57555,2000
The Others,2001,Horror,7.6,101,96.522687,2000
Blow,2001,Biography,7.6,124,52.990775,2000
Enemy at the Gates,2001,Drama,7.6,131,51.401758,2000
Minority Report,2002,Action,7.6,145,132.072926,2000
The Hurricane,1999,Biography,7.6,146,50.668906,1990
